"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZ_ERR_NO_REASON","Дія прийшла без причини - відмовлено.","The action came without a reason and was refused.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.","Дія прийшла без причини - відмовлено.",
"STR_OZ_ERR_NOT_LEADER","Це може лише лідер угруповання.","Only a faction leader can do that.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.","Це може лише лідер угруповання.",
"STR_OZ_ERR_OTHER_FACTION","Це належить іншому угрупованню.","That belongs to another faction.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.","Це належить іншому угрупованню.",
"STR_OZ_ERR_NOT_YOURS","Цей гравець не у вашому угрупованні.","That player is not in your faction.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.","Цей гравець не у вашому угрупованні.",
"STR_OZ_ERR_USE_TRANSFER","Лідерство передають, а не роздають.","Leadership is handed over, not handed out.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.","Лідерство передають, а не роздають.",
"STR_OZ_ERR_SELF","Себе запросити не можна.","You cannot invite yourself.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.","Себе запросити не можна.",
"STR_OZ_ERR_ALREADY_IN","Цей гравець уже у вашому угрупованні.","That player is already in your faction.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.","Цей гравець уже у вашому угрупованні.",
"STR_OZ_ERR_NO_INVITE","На вас не чекає жодне запрошення.","No invitation is waiting for you.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.","На вас не чекає жодне запрошення.",
"STR_OZ_ROLE_INVITED","Вас запросили до угруповання.","You have been invited to a faction.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.","Вас запросили до угруповання.",
"STR_OZ_ERR_NEEDS_INVITE","До угруповання не вступають, не прийнявши запрошення.","Nobody joins a faction without accepting an invitation.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.","До угруповання не вступають, не прийнявши запрошення.",
"STR_OZ_ERR_INVITE_BUSY","На цього гравця вже чекає запрошення.","That player already has an invitation waiting.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.","На цього гравця вже чекає запрошення.",
