"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_OZ_FACTION_INVITE","Запросити до угруповання","Invite to faction","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання","Запросити до угруповання"
"STR_OZ_FACTION_EXPEL","Вигнати з угруповання","Expel from faction","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання","Вигнати з угруповання"
"STR_OZ_FACTION_HANDOVER","Передати лідерство","Hand over leadership","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство","Передати лідерство"
"STR_OZ_FACTION_JOIN","Вступити","Join","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити","Вступити"
"STR_OZ_FACTION_REFUSE","Відмовитись","Refuse","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись","Відмовитись"
"STR_OZ_PAGE_FACTION","Угруповання","Faction","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання","Угруповання"
"STR_OZ_FACTION_NONE","БЕЗ УГРУПОВАННЯ","NO FACTION","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ","БЕЗ УГРУПОВАННЯ"
"STR_OZ_FACTION_LEADER","[ЛIДЕР]","[LEADER]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]","[ЛIДЕР]"
"STR_OZ_FACTION_KICK","ВИГНАТИ","KICK","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ","ВИГНАТИ"
"STR_OZ_FACTION_LEAD","ЗРОБИТИ ЛIДЕРОМ","MAKE LEADER","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ","ЗРОБИТИ ЛIДЕРОМ"
